project_index,omniclass_element,life_cycle_stage,gwp,ep,ap,sfp,odp,nred
5,Interiors - Finishes,C2-C4,4376.2,1.1,19.92,392.378,7.870303663e-10,68585.5
5,Interiors - Finishes,D,-9178.199999999999,-0.86,-39.18,-361.052,3.22288319652e-05,-86398.1
5,Shell - Enclosure,A1-A3,315818.5,62.61,1385.09,17025.838,0.00629551881183505,4601828.8
5,Shell - Enclosure,A4,4077.6,1.47,18.91,624.334,1.39653682127e-10,57877.5
5,Shell - Enclosure,B4-B5,178763.7,37.91,745.71,9635.706,0.00135107390163774,2810058.1
5,Shell - Enclosure,C2-C4,6280.1,5.42,36.25,601.3729999999999,1.147086649486e-09,99924.9
5,Shell - Enclosure,D,-155297.9,-13.620000000000001,-533.96,-5450.1089999999995,0.000744185034084432,-1459552.5
5,Shell - Superstructure,A1-A3,1330041.7,242.18,5145.45,76205.866,0.0034665487642510837,12542509.2
5,Shell - Superstructure,A4,10662.6,3.99,49.42,1632.605,3.6518728566e-10,151347.8
5,Shell - Superstructure,B4-B5,12779.699999999999,2.45,28.68,630.975,1.31034523014e-08,351498.3
5,Shell - Superstructure,C2-C4,81937.1,19.56,379.38,7531.635,1.5058036747592e-08,1311288.7
5,Shell - Superstructure,D,-163809.6,-18.14,-1411.41,-9101.445,-0.0005317634981059801,-1540886.3
5,Substructure,A1-A3,107748.4,22.25,297.15,6064.351000000001,2.3202297965e-06,895304.8
5,Substructure,A4,1072.3,0.39,4.96,164.203,3.67297272e-11,15222.199999999999
5,Substructure,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
5,Substructure,C2-C4,11185.4,2.61,51.699999999999996,1027.828,2.0558032048e-09,179026.2
5,Substructure,D,10911.3,1.03,24.16,441.38,-7.392718567773e-05,103682.1
5,Unknown,A1-A3,587.1,0.05,1.7599999999999998,22.862,-2.7339879200000002e-06,7060.6
5,Unknown,A4,5.3,0.0,0.01,0.8079999999999999,1.8077538e-13,75.0
5,Unknown,B4-B5,592.7,0.060000000000000005,1.79,23.688000000000002,-2.7339879200000002e-06,7138.8
5,Unknown,C2-C4,0.1,0.0,0.0,0.018000000000000002,3.62920969e-14,3.0999999999999996
5,Unknown,D,-587.0,-0.05,-1.1600000000000001,-16.314,4.15930956e-06,-5512.8
6,Interiors - Construction,A1-A3,11063.0,2.12,29.75,590.02,5.7e-07,181616.8
6,Interiors - Construction,A4,223.2,0.18,1.27,36.06,5.9e-05,6347.2
6,Interiors - Construction,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
6,Interiors - Construction,C2-C4,738.0,0.25,47.79,1.47,0.0001333,1912.6000000000001
6,Interiors - Finishes,A1-A3,7937.4,1.24,12.82,249.57,6e-10,17553.8
6,Interiors - Finishes,A4,72.2,0.06,0.41,11.66,1.9e-05,2052.8
6,Interiors - Finishes,B4-B5,38083.3,10.08,51.49,916.75,0.00055,61188.1
6,Interiors - Finishes,C2-C4,4684.9,2.06,3.9299999999999997,44.354,0.00016160000000000002,789.5
6,Shell - Enclosure,A1-A3,491752.7,2049.51,2588.43,41706.94,0.027683445940000002,6160127.1
6,Shell - Enclosure,A4,7239.7,5.69,37.91,1055.996,0.001881169,195242.4
6,Shell - Enclosure,B4-B5,89314.1,24.73,278.96000000000004,2761.71,0.001584403,1462577.0999999999
6,Shell - Enclosure,C2-C4,35967.6,48.48,579.4399999999999,848.163,0.00257166292051,29707.4
